From_track	To_track	No of Hops
CVC_B2B_Commerce	CVC_Q2O_ServiceCommerce_CSCC	13
CVC_B2B_Commerce	Non-IT_OpportunityGateway	17
CVC_B2B_Commerce	non gse	12
CVC_B2B_Commerce	Remedy IT	1
CVC_B2B_EDI	CVC_B2B_Commerce	15
CVC_B2B_EDI	CVC_B2B_Manufacturing	35
CVC_B2B_EDI	CVC_COVC_SCM	13
CVC_B2B_EDI	CVC_FIN_ERP-I2C	7
CVC_B2B_EDI	CVC_FIN_ERP-P2R	1
CVC_B2B_EDI	CVC_Q2O_ProductCommerce_Quoting	1
CVC_B2B_EDI	Remedy IT	3
CVC_B2B_Manufacturing	CVC_B2B_EDI	26
CVC_B2B_Manufacturing	CVC_COVC_OM	1
CVC_B2B_Manufacturing	CVC_COVC_SCM	82
CVC_B2B_Manufacturing	non gse	1
CVC_COVC_OM	CS&S_AS	43
CVC_COVC_OM	CS&S_CC_InstallBase	56
CVC_COVC_OM	CS&S_ECMWT	1
CVC_COVC_OM	CS&S_GTMS_CPE	1
CVC_COVC_OM	CS&S_GTMS_SCCC	10
CVC_COVC_OM	CS&S_GTMS_UCRM	2
CVC_COVC_OM	CS&S_SW	122
CVC_COVC_OM	CS&S_TS SSC	138
CVC_COVC_OM	CS&S_TS_FS	9
CVC_COVC_OM	CS&S_WebEx	12
CVC_COVC_OM	CVC_B2B_Commerce	28
CVC_COVC_OM	CVC_COVC_OM_Pricing	156
CVC_COVC_OM	CVC_COVC_SCM	1294
CVC_COVC_OM	CVC_EDW_CustomerRegistry	12
CVC_COVC_OM	CVC_EDW_ITEMHUB	14
CVC_COVC_OM	CVC_EDW_Sales BI	8
CVC_COVC_OM	CVC_EDW_Tera Data	14
CVC_COVC_OM	CVC_FIN_ERP-I2C	232
CVC_COVC_OM	CVC_FIN_ERP-P2R	6
CVC_COVC_OM	CVC_FIN_Global-Tax-Customs	13
CVC_COVC_OM	CVC_FIN_Non-ERP-TGCL	1
CVC_COVC_OM	CVC_HR IT	2
CVC_COVC_OM	CVC_OM_WCCS-Pega-Support	5
CVC_COVC_OM	CVC_Q2O_ProductCommerce_Config	355
CVC_COVC_OM	CVC_Q2O_ProductCommerce_Ord	404
CVC_COVC_OM	CVC_Q2O_ProductCommerce_Pricing	3
CVC_COVC_OM	CVC_Q2O_ProductCommerce_Quoting	43
CVC_COVC_OM	CVC_Q2O_ServiceCommerce_CSCC	150
CVC_COVC_OM	CVC_Q2O_ServiceCommerce_SSFA	1
CVC_COVC_OM	non gse	76
CVC_COVC_OM_Pricing	CS&S_ECMWT	2
CVC_COVC_OM_Pricing	CS&S_GTMS_CPE	1
CVC_COVC_OM_Pricing	CS&S_GTMS_SCCC	1
CVC_COVC_OM_Pricing	CS&S_TS SSC	1
CVC_COVC_OM_Pricing	CS&S_WebEx	21
CVC_COVC_OM_Pricing	CVC_B2B_Commerce	21
CVC_COVC_OM_Pricing	CVC_COVC_OM	25
CVC_COVC_OM_Pricing	CVC_COVC_SCM	1
CVC_COVC_OM_Pricing	CVC_EDW_ITEMHUB	45
CVC_COVC_OM_Pricing	CVC_EDW_Tera Data	1
CVC_COVC_OM_Pricing	CVC_FIN_ERP-P2R	1
CVC_COVC_OM_Pricing	CVC_FIN_Global-Tax-Customs	1
CVC_COVC_OM_Pricing	CVC_Q2O_ProductCommerce_Config	34
CVC_COVC_OM_Pricing	CVC_Q2O_ProductCommerce_Ord	23
CVC_COVC_OM_Pricing	CVC_Q2O_ProductCommerce_Pricing	34
CVC_COVC_OM_Pricing	CVC_Q2O_ProductCommerce_Quoting	28
CVC_COVC_OM_Pricing	CVC_Q2O_ServiceCommerce_CSCC	1
CVC_COVC_OM_Pricing	CVC_Q2O_ServiceCommerce_SSFA	9
CVC_COVC_OM_Pricing	non gse	11
CVC_COVC_PLM	CS&S_ECMWT	1
CVC_COVC_PLM	CS&S_TS SSC	2
CVC_COVC_PLM	CVC_COVC_OM	3
CVC_COVC_PLM	CVC_COVC_SCM	5
CVC_COVC_PLM	CVC_EDW_ClickStream	2
CVC_COVC_PLM	CVC_EDW_ITEMHUB	1
CVC_COVC_PLM	CVC_EDW_PlatformSupport	4
CVC_COVC_PLM	CVC_EDW_Tera Data	5
CVC_COVC_PLM	CVC_FIN_ERP-P2R	2
CVC_COVC_PLM	CVC_FIN_Non-ERP-TGCL	1
CVC_COVC_PLM	CVC_Q2O_ProductCommerce_Config	1
CVC_COVC_PLM	non gse	24
CVC_COVC_PLM	Remedy IT	2
CVC_COVC_SCM	CS&S_AS	1
CVC_COVC_SCM	CS&S_CC_InstallBase	3
CVC_COVC_SCM	CS&S_GTMS_CPE	1
CVC_COVC_SCM	CS&S_GTMS_CRM	1
CVC_COVC_SCM	CS&S_SW	3
CVC_COVC_SCM	CS&S_TS SSC	64
CVC_COVC_SCM	CS&S_TS_FS	2
CVC_COVC_SCM	CVC_B2B_Commerce	1
CVC_COVC_SCM	CVC_B2B_Manufacturing	25
CVC_COVC_SCM	CVC_COVC_OM	626
CVC_COVC_SCM	CVC_COVC_PLM	4
CVC_COVC_SCM	CVC_EDW_ClickStream	18
CVC_COVC_SCM	CVC_EDW_ITEMHUB	1
CVC_COVC_SCM	CVC_EDW_PlatformSupport	11
CVC_COVC_SCM	CVC_EDW_Tera Data	17
CVC_COVC_SCM	CVC_FIN_ERP-I2C	4
CVC_COVC_SCM	CVC_FIN_ERP-P2R	42
CVC_COVC_SCM	CVC_OM_WCCS-Pega-Support	23
CVC_COVC_SCM	CVC_Q2O_ProductCommerce_Config	21
CVC_COVC_SCM	CVC_Q2O_ProductCommerce_Ord	22
CVC_COVC_SCM	CVC_Q2O_ProductCommerce_Quoting	1
CVC_COVC_SCM	CVC_Q2O_ServiceCommerce_CSCC	21
CVC_COVC_SCM	non gse	76
CVC_COVC_SCM	Remedy IT	6
CVC_EDW_ClickStream	CS&S_SW	4
CVC_EDW_ClickStream	CVC_EDW_PlatformSupport	5
CVC_EDW_ClickStream	CVC_EDW_Tera Data	33
CVC_EDW_ClickStream	non gse	13
CVC_EDW_ClickStream	Remedy IT	2
CVC_EDW_CustomerRegistry	CS&S_GTMS_CPE	42
CVC_EDW_CustomerRegistry	CS&S_GTMS_CRM	16
CVC_EDW_CustomerRegistry	CS&S_GTMS_SCCC	8
CVC_EDW_CustomerRegistry	CS&S_GTMS_UCRM	1
CVC_EDW_CustomerRegistry	CS&S_SW	3
CVC_EDW_CustomerRegistry	CS&S_TS SSC	1
CVC_EDW_CustomerRegistry	CS&S_TS_FS	1
CVC_EDW_CustomerRegistry	CVC_COVC_OM	14
CVC_EDW_CustomerRegistry	CVC_COVC_OM_Pricing	1
CVC_EDW_CustomerRegistry	CVC_EDW_HMP	2
CVC_EDW_CustomerRegistry	CVC_EDW_Tera Data	17
CVC_EDW_CustomerRegistry	CVC_FIN_Non-ERP-TGCL	2
CVC_EDW_CustomerRegistry	CVC_Q2O_ProductCommerce_Config	5
CVC_EDW_CustomerRegistry	CVC_Q2O_ProductCommerce_Ord	7
CVC_EDW_CustomerRegistry	CVC_Q2O_ProductCommerce_Pricing	5
CVC_EDW_CustomerRegistry	CVC_Q2O_ProductCommerce_Quoting	23
CVC_EDW_CustomerRegistry	CVC_Q2O_ServiceCommerce_CSCC	3
CVC_EDW_CustomerRegistry	non gse	87
CVC_EDW_HMP	CS&S_GTMS_SCCC	1
CVC_EDW_HMP	CVC_EDW_CustomerRegistry	2
CVC_EDW_HMP	CVC_EDW_Tera Data	18
CVC_EDW_HMP	non gse	8
CVC_EDW_ITEMHUB	CS&S_CC_InstallBase	1
CVC_EDW_ITEMHUB	CS&S_SW	3
CVC_EDW_ITEMHUB	CS&S_TS SSC	1
CVC_EDW_ITEMHUB	CVC_B2B_Commerce	5
CVC_EDW_ITEMHUB	CVC_COVC_OM	8
CVC_EDW_ITEMHUB	CVC_COVC_OM_Pricing	41
CVC_EDW_ITEMHUB	CVC_COVC_PLM	2
CVC_EDW_ITEMHUB	CVC_COVC_SCM	2
CVC_EDW_ITEMHUB	CVC_EDW_HMP	1
CVC_EDW_ITEMHUB	CVC_EDW_Tera Data	4
CVC_EDW_ITEMHUB	CVC_FIN_ERP-I2C	1
CVC_EDW_ITEMHUB	CVC_Q2O_ProductCommerce_Config	6
CVC_EDW_ITEMHUB	CVC_Q2O_ProductCommerce_Ord	4
CVC_EDW_ITEMHUB	CVC_Q2O_ProductCommerce_Pricing	2
CVC_EDW_ITEMHUB	CVC_Q2O_ProductCommerce_Quoting	8
CVC_EDW_ITEMHUB	CVC_Q2O_ServiceCommerce_SSFA	2
CVC_EDW_ITEMHUB	non gse	4
CVC_EDW_ITEMHUB	Remedy IT	1
CVC_EDW_PlatformSupport	CS&S_AS	2
CVC_EDW_PlatformSupport	CS&S_GTMS_SCCC	1
CVC_EDW_PlatformSupport	CVC_COVC_SCM	2
CVC_EDW_PlatformSupport	CVC_EDW_ClickStream	5
CVC_EDW_PlatformSupport	CVC_EDW_Sales BI	2
CVC_EDW_PlatformSupport	CVC_EDW_Tera Data	18
CVC_EDW_PlatformSupport	CVC_FIN_Global-Tax-Customs	1
CVC_EDW_PlatformSupport	CVC_FIN_Non-ERP-TGCL	5
CVC_EDW_PlatformSupport	CVC_Q2O_ProductCommerce_Quoting	1
CVC_EDW_PlatformSupport	non gse	12
CVC_EDW_PlatformSupport	Remedy IT	3
CVC_EDW_Sales BI	CS&S_GTMS_CPE	8
CVC_EDW_Sales BI	CS&S_GTMS_CRM	11
CVC_EDW_Sales BI	CS&S_GTMS_SCCC	43
CVC_EDW_Sales BI	CVC_COVC_OM	5
CVC_EDW_Sales BI	CVC_EDW_Tera Data	105
CVC_EDW_Sales BI	CVC_FIN_ERP-I2C	6
CVC_EDW_Sales BI	CVC_FIN_Non-ERP-TGCL	2
CVC_EDW_Sales BI	CVC_Q2O_ProductCommerce_Ord	1
CVC_EDW_Sales BI	non gse	30
CVC_EDW_Tera Data	CS&S_AS	28
CVC_EDW_Tera Data	CS&S_CC_InstallBase	22
CVC_EDW_Tera Data	CS&S_GTMS_CPE	113
CVC_EDW_Tera Data	CS&S_GTMS_CRM	5
CVC_EDW_Tera Data	CS&S_GTMS_SCCC	40
CVC_EDW_Tera Data	CS&S_GTMS_UCRM	1
CVC_EDW_Tera Data	CS&S_MKTG IT	2
CVC_EDW_Tera Data	CS&S_TS TAC	1
CVC_EDW_Tera Data	CS&S_WebEx	1
CVC_EDW_Tera Data	CVC_COVC_OM	25
CVC_EDW_Tera Data	CVC_COVC_OM_Pricing	1
CVC_EDW_Tera Data	CVC_COVC_SCM	16
CVC_EDW_Tera Data	CVC_EDW_ClickStream	22
CVC_EDW_Tera Data	CVC_EDW_CustomerRegistry	32
CVC_EDW_Tera Data	CVC_EDW_HMP	3
CVC_EDW_Tera Data	CVC_EDW_ITEMHUB	8
CVC_EDW_Tera Data	CVC_EDW_PlatformSupport	157
CVC_EDW_Tera Data	CVC_EDW_Sales BI	29
CVC_EDW_Tera Data	CVC_FIN_ERP-I2C	29
CVC_EDW_Tera Data	CVC_FIN_ERP-P2R	5
CVC_EDW_Tera Data	CVC_FIN_Global-Tax-Customs	1
CVC_EDW_Tera Data	CVC_FIN_Non-ERP-Reporting	2
CVC_EDW_Tera Data	CVC_FIN_Non-ERP-TGCL	41
CVC_EDW_Tera Data	CVC_HR IT	3
CVC_EDW_Tera Data	CVC_Q2O_ProductCommerce_Ord	8
CVC_EDW_Tera Data	CVC_Q2O_ProductCommerce_Pricing	1
CVC_EDW_Tera Data	CVC_Q2O_ProductCommerce_Quoting	4
CVC_EDW_Tera Data	CVC_Q2O_ServiceCommerce_CSCC	1
CVC_EDW_Tera Data	CVC_Q2O_ServiceCommerce_SSFA	11
CVC_EDW_Tera Data	non gse	49
CVC_EDW_Tera Data	Remedy IT	3
CVC_FIN_ERP-I2C	CS&S_CC_InstallBase	11
CVC_FIN_ERP-I2C	CS&S_GTMS_CPE	5
CVC_FIN_ERP-I2C	CS&S_GTMS_SCCC	4
CVC_FIN_ERP-I2C	CS&S_GTMS_UCRM	1
CVC_FIN_ERP-I2C	CS&S_SW	2
CVC_FIN_ERP-I2C	CS&S_WebEx	14
CVC_FIN_ERP-I2C	CVC_B2B_Commerce	24
CVC_FIN_ERP-I2C	CVC_B2B_EDI	5
CVC_FIN_ERP-I2C	CVC_COVC_OM	182
CVC_FIN_ERP-I2C	CVC_COVC_SCM	29
CVC_FIN_ERP-I2C	CVC_EDW_ITEMHUB	11
CVC_FIN_ERP-I2C	CVC_EDW_PlatformSupport	1
CVC_FIN_ERP-I2C	CVC_EDW_Sales BI	11
CVC_FIN_ERP-I2C	CVC_EDW_Tera Data	25
CVC_FIN_ERP-I2C	CVC_FIN_ERP-P2R	20
CVC_FIN_ERP-I2C	CVC_FIN_Global-Tax-Customs	35
CVC_FIN_ERP-I2C	CVC_FIN_Non-ERP-TGCL	4
CVC_FIN_ERP-I2C	CVC_Q2O_ProductCommerce_Ord	22
CVC_FIN_ERP-I2C	CVC_Q2O_ProductCommerce_Quoting	3
CVC_FIN_ERP-I2C	CVC_Q2O_ServiceCommerce_CSCC	7
CVC_FIN_ERP-I2C	non gse	62
CVC_FIN_ERP-I2C	Remedy IT	2
CVC_FIN_ERP-P2R	CS&S_AS	3
CVC_FIN_ERP-P2R	CS&S_GTMS_SCCC	1
CVC_FIN_ERP-P2R	CS&S_SW	1
CVC_FIN_ERP-P2R	CS&S_TS SSC	1
CVC_FIN_ERP-P2R	CS&S_TS_FS	1
CVC_FIN_ERP-P2R	CVC_B2B_Commerce	1
CVC_FIN_ERP-P2R	CVC_B2B_EDI	8
CVC_FIN_ERP-P2R	CVC_B2B_Manufacturing	1
CVC_FIN_ERP-P2R	CVC_COVC_OM	13
CVC_FIN_ERP-P2R	CVC_COVC_OM_Pricing	1
CVC_FIN_ERP-P2R	CVC_COVC_SCM	48
CVC_FIN_ERP-P2R	CVC_EDW_Tera Data	1
CVC_FIN_ERP-P2R	CVC_FIN_ERP-I2C	22
CVC_FIN_ERP-P2R	CVC_FIN_Global-Tax-Customs	36
CVC_FIN_ERP-P2R	CVC_FIN_Non-ERP-Reporting	15
CVC_FIN_ERP-P2R	CVC_FIN_Non-ERP-TGCL	5
CVC_FIN_ERP-P2R	CVC_HR IT	2
CVC_FIN_ERP-P2R	CVC_Q2O_ProductCommerce_Ord	9
CVC_FIN_ERP-P2R	CVC_Q2O_ProductCommerce_Pricing	1
CVC_FIN_ERP-P2R	CVC_Q2O_ProductCommerce_Quoting	1
CVC_FIN_ERP-P2R	non gse	89
CVC_FIN_ERP-P2R	Remedy IT	1
CVC_FIN_Global-Tax-Customs	CS&S_TS TAC	2
CVC_FIN_Global-Tax-Customs	CS&S_WebEx	5
CVC_FIN_Global-Tax-Customs	CVC_B2B_Commerce	1
CVC_FIN_Global-Tax-Customs	CVC_COVC_OM	4
CVC_FIN_Global-Tax-Customs	CVC_COVC_SCM	1
CVC_FIN_Global-Tax-Customs	CVC_EDW_PlatformSupport	2
CVC_FIN_Global-Tax-Customs	CVC_FIN_ERP-I2C	12
CVC_FIN_Global-Tax-Customs	CVC_FIN_ERP-P2R	13
CVC_FIN_Global-Tax-Customs	CVC_FIN_Non-ERP-TGCL	5
CVC_FIN_Global-Tax-Customs	non gse	7
CVC_FIN_Non-ERP-Reporting	CS&S_CC_InstallBase	1
CVC_FIN_Non-ERP-Reporting	CS&S_WebEx	1
CVC_FIN_Non-ERP-Reporting	CVC_B2B_EDI	2
CVC_FIN_Non-ERP-Reporting	CVC_EDW_PlatformSupport	8
CVC_FIN_Non-ERP-Reporting	CVC_EDW_Tera Data	16
CVC_FIN_Non-ERP-Reporting	CVC_FIN_ERP-P2R	6
CVC_FIN_Non-ERP-Reporting	CVC_FIN_Non-ERP-TGCL	12
CVC_FIN_Non-ERP-Reporting	CVC_Q2O_ProductCommerce_Ord	3
CVC_FIN_Non-ERP-Reporting	CVC_Q2O_ProductCommerce_Quoting	4
CVC_FIN_Non-ERP-Reporting	non gse	47
CVC_FIN_Non-ERP-TGCL	CS&S_eLearn	2
CVC_FIN_Non-ERP-TGCL	CS&S_GTMS_CPE	2
CVC_FIN_Non-ERP-TGCL	CS&S_SW	1
CVC_FIN_Non-ERP-TGCL	CS&S_TS SSC	5
CVC_FIN_Non-ERP-TGCL	CS&S_WebEx	1
CVC_FIN_Non-ERP-TGCL	CVC_COVC_OM	6
